-0.0185621350,-0.1499527276,-0.9885189055,-4.1773956612,0.9991440550,-0.0393377994,-0.0127943294,0.6463823618,-0.0369676138,-0.9879102778,0.1505545699,0.0483994308,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.0535036982,-0.1531450066,-0.9867542557,-4.3877772573,0.9979898686,-0.0254098439,0.0580565416,0.6160068310,-0.0339643411,-0.9878769897,0.1514776444,0.0447063598,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.2030699235,-0.1495724327,-0.9676728236,-4.5825072047,0.9785830092,-0.0030446972,0.2058300851,0.6692896644,-0.0337327773,-0.9887460833,0.1457507549,0.0424405613,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.3919008963,-0.1440989025,-0.9086524053,-4.8006552694,0.9192164341,0.0203828843,0.3932247261,0.7925539852,-0.0381422946,-0.9893533465,0.1404461499,0.0571083904,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.5458151917,-0.1297965370,-0.8277914203,-4.9578140409,0.8371430214,0.0423341070,0.5453433645,0.9544165424,-0.0357398696,-0.9906365037,0.1317648638,0.0520528245,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.5713002256,-0.1274691705,-0.8107821303,-4.9994730080,0.8199648344,0.0456880870,0.5705876524,0.9967953561,-0.0356892503,-0.9907896897,0.1306218517,0.0493167170,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.7307621839,-0.1103847957,-0.6736481481,-5.2634577793,0.6816452093,0.0649507573,0.7287943522,1.3441811168,-0.0366938583,-0.9917643853,0.1227068244,0.0347667100,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.8227559970,-0.0907686480,-0.5611003670,-5.4419941236,0.5676365087,0.0802408567,0.8193596273,1.6308645323,-0.0293489915,-0.9926341005,0.1175422445,0.0226848264,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.8789633372,-0.0776648858,-0.4705227065,-5.5635885453,0.4761291136,0.0872282485,0.8750384562,1.8445971932,-0.0269168902,-0.9931562808,0.1136489456,0.0190131090,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9291407319,-0.0607273072,-0.3647049417,-5.6883178050,0.3691207664,0.0959309068,0.9244171791,2.1690202187,-0.0211508902,-0.9935338219,0.1115490231,0.0025625171,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9541187342,-0.0533756368,-0.2946327924,-5.7461217949,0.2986355564,0.0980649424,0.9493155806,2.3924953309,-0.0217771759,-0.9937476080,0.1095054617,-0.0063705130,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9854691817,-0.0289896920,-0.1673621512,-5.8392037023,0.1695162861,0.1057257290,0.9798399354,2.8403082830,-0.0107107725,-0.9939726696,0.1091036726,-0.0076986374,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9894299236,-0.0252682992,-0.1427933451,-5.8518668421,0.1446819929,0.1056400772,0.9838227965,2.9542129183,-0.0097748288,-0.9940833401,0.1081793214,-0.0150624298,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9916336157,-0.0229330785,-0.1270308863,-5.8631788488,0.1287555402,0.1055278107,0.9860455831,3.0356175738,-0.0092077694,-0.9941518773,0.1075976854,-0.0210977325,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9981479447,-0.0080492260,-0.0602983448,-5.8978120384,0.0608190758,0.1106685987,0.9919947083,3.4758825917,-0.0013116562,-0.9938247689,0.1109531808,-0.0536695594,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9994878478,-0.0022632749,-0.0319205207,-5.9531072527,0.0319716499,0.1130875894,0.9930704964,3.9502180215,0.0013622232,-0.9935824449,0.1131020320,-0.0681334465,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9995806300,-0.0047977423,-0.0285577618,-5.9634887764,0.0289184454,0.1138755051,0.9930740621,4.1573296486,-0.0015124839,-0.9934834427,0.1139664924,-0.0716231457,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9999987010,-0.0004724303,0.0015410644,-6.0039743231,-0.0014791627,0.1109052389,0.9938298849,4.6110042086,-0.0006404275,-0.9938308733,0.1109043961,-0.0915580558,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9999945341,-0.0000795250,0.0033053731,-6.0068637528,-0.0032769052,0.1092385743,0.9940101588,4.6472673876,-0.0004401229,-0.9940155570,0.1092377166,-0.0944109176,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9993152008,0.0052921871,0.0366213355,-6.0203923398,-0.0369787765,0.1079682852,0.9934663655,5.1408125257,0.0013036671,-0.9941402528,0.1080900472,-0.1124385603,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9988922631,0.0072679999,0.0464911062,-6.0247664921,-0.0470022014,0.1069722636,0.9931504055,5.3124572436,0.0022449582,-0.9942354404,0.1071953785,-0.1221434127,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983414821,0.0095683508,0.0567691091,-6.0261996895,-0.0574636335,0.1057558450,0.9927303924,5.5253666036,0.0034951275,-0.9943460906,0.1061302792,-0.1288237855,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9978113620,0.0110272277,0.0651988199,-6.0266827715,-0.0659983431,0.1051370538,0.9922652965,5.7413845461,0.0040871235,-0.9943966010,0.1056347256,-0.1471507151,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9977010591,0.0086995853,0.0672079895,-6.0242598979,-0.0677510449,0.1054075985,0.9921184577,5.8246842463,0.0015467863,-0.9943910475,0.1057546786,-0.1465086667,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9965065121,0.0129618583,0.0825031002,-6.0386059460,-0.0833836975,0.0990242477,0.9915852749,6.4700253678,0.0046829804,-0.9950005973,0.0997591154,-0.1620417199,0.0000000000,0.0000000000,0.0000000000,1.0000000000
